ID,Name,Description,ColumnSpec
ADN,Adnominal intensifier,"This parameter shows the most important adnominal self-intensifier in the language, including some information on how it is used grammatically.",
EXC,Exclusive intensifier,This parameter shows the exclusive intensifier (as in 'I managed to do it myself').,
REFL,Reflexivizer,This parameter gives the most important reflexive-marking element of the language.,
ATTR,Attributive intensifier (‘own’),This parameter gives the form of the attributive intensifier (as in 'She brought her own cake.'),
SFP,Scalar focus particle (‘even’),"This parameter gives the form of the scalar additive focus particle, corresponding to 'even'.",
