ref,entry
Kastenholz:1998,"Kastenholz, R. (1998). <i>Grundkurs Bambara (Manding) mit Texten</i>. Köln: Köppe."
"Kenesei,Vago&Fenyvesi:1998","Kenesei, István, Robert M. Vago, and Anna Fenyvesi (1998). <i>Hungarian</i>. London/New York: Routledge."
Kimeniy:1978,"Kimeniy, A. (1978). <i>A Relational Grammar of Kinyarwanda</i>. Berkeley: University of California Press."
Kress:1982,"Kress, Bruno (1982). <i>Isländische Grammatik</i>. Leipzig: VEB Verlag Enzyklopädie."
Leslau:1995,"Leslau, Wolf (1995). <i>Reference Grammar of Amharic</i>. Wiesbaden: Harrassowitz."
"Lust,Wali,Gair&Subbarao:1999","Lust, Barbara, Kashi Wali, James W. Gair, K.V. Subbarao (eds.) (1999). <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter."
Lyutikova:2000,Lyutikova. E. (2000). <i>Reflexives and emphasis in Tsaxur</i>. In Frajzyngier & Curl (eds.). Reflexives - Forms and Functions. Amsterdam: Benjamins.
Mahootian:1997,"Mahootian, Sharzad (1997). <i>Persian</i>. London: Routledge."
Manney:1998,"Manney, Linda (1998). <i>The Reflexive Archetype and its various realizations in Modern Greek</i>. Studies in Language 22:1."
Matthews&Yip:1994,"Matthews, Stephen & Virginia Yip (1994). <i>Cantonese: A Comprehensive Grammar</i>. London: Routledge."
Meeuwis:1998,"Meeuwis, M. (1998). <i>Lingala</i>. München/Newcastle: LINCOM."
Mulisch:1975,"Mulisch, H. (ed.) (1975). <i>Die Russische Sprache der Gegenwart - Band 2, Morphologie</i>. Düsseldorf: Brücken-Verlag."
Newman:1990,"Newman, R.M. (1990). <i>An English-Hausa Dictionary</i>. New Haven & London: Yale University Press."
Nikolova-Galabova&Galabov:1968,"Nikolova-Galabova, Z. & K. Galabov (1968). <i>B&#259;lgarsko-nemski frazeologi&#269;en re&#269;nik</i>. Sofia: Nauka i izkustvo."
Nolan:2001,"Nolan, Brian (2001). <i>Reflexive and Reciprocal Constructions in Modern Irish</i>. MS. Institute of Technology Blanchardstown, Dublin."
Ogawa:1998,"Ogawa, Akio (1998). <i>Emphatische Reflexiva im Sprachvergleich: Deutsch-Japanisch</i>. STUF 51."
