ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Original_Name
ABK,Abkhaz,Eurasia,43.056218,41.159115,abkh1244,abk,Abkhaz
ALN,Albanian,Eurasia,,,alba1267,sqi,Albanian
AMH,Amharic,Africa,11.708182,39.543456,amha1245,amh,Amharic
ABV,Arabic,,,,arab1395,,Arabic
ARM,Eastern Armenian,Eurasia,40.0,45.0,nucl1235,hye,Armenian
KVA,Bagvalal,Eurasia,42.3966,46.1041,bagv1239,kva,Bagvalal
BSQ,Basque,Eurasia,43.2787,-1.31622,basq1248,eus,Basque
BNG,Bengali,Eurasia,24.0,90.0,beng1280,ben,Bengali
BLG,Bulgarian,Eurasia,43.3646,25.047,bulg1262,bul,Bulgarian
YUH,Cantonese,Eurasia,23.0118,113.2021,cant1236,,Cantonese
CLN,Catalan,Eurasia,41.453,1.569,stan1289,cat,Catalan
VMN,San Miguel Chalcatongo,North America,17.03226,-97.57074,sanm1296,,Chalcatongo Mixtec
NCI,Classical Nahuatl,North America,19.72,-96.97,clas1250,nci,Classical Nahuatl
ZOC,Copainalá Zoque,North America,17.2157,-93.3183,copa1236,zoc,Copainala Zoque
DNS,Danish,Eurasia,54.8655,9.36284,dani1285,dan,Danish
DUT,Dutch,Eurasia,52.0,5.0,dutc1256,nld,Dutch
ENG,English,Eurasia,53.0,-1.0,stan1293,eng,English
FIN,Finnish,Eurasia,64.7628,25.5577,finn1318,fin,Finnish
FRN,French,Eurasia,48.0,2.0,stan1290,fra,French
GLI,Irish,Eurasia,53.2186,-7.61509,iris1253,gle,Irish Gaelic
GER,German,Eurasia,48.649,12.4676,stan1295,deu,German
GRK,Greek,,,,gree1276,,Greek
GJR,Gujarati,Eurasia,22.687,71.0962,guja1252,guj,Gujarati
HBR,Modern Hebrew,Eurasia,31.1056,35.0179,hebr1245,heb,Hebrew
HND,Hindi,Eurasia,25.0,77.0,hind1269,hin,Hindi
HNG,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,hun,Hungarian
ISL,Icelandic,Eurasia,63.4837,-19.0212,icel1247,isl,Icelandic
INZ,Riau Indonesian,Papunesia,,,riau1236,,Riau Indonesian
ITN,Italian,Eurasia,43.0464,12.6489,ital1282,ita,Italian
JPN,Japanese,Eurasia,35.0,135.0,nucl1643,jpn,Japanese
KJV,Kannada,Eurasia,13.5878,76.1198,nucl1305,kan,Kannada
BTX,Batak Karo,Papunesia,2.12787,98.2517,bata1293,btx,Karo Batak
KSH,Kashmiri,Eurasia,34.166825,74.330455,kash1277,kas,Kashmiri
KIN,Kinyarwanda,Africa,-1.56771,29.6441,kiny1244,kin,Kinyarwanda
KKN,Korean,Eurasia,37.54,126.98,kore1280,kor,Korean
KHQ,Koyra Chiini,Africa,,,koyr1241,,Koyra Chiini
LTN,Latin,Eurasia,41.9026,12.4502,lati1261,lat,Latin
LIT,Lithuanian,Eurasia,55.1429,23.9601,lith1251,lit,Lithuanian
MEX,Plateau Malagasy,Africa,-19.5907,47.1211,plat1254,plt,Malagasy
MJS,Malayalam,Eurasia,9.59208,76.7651,mala1464,mal,Malayalam
MLS,Maltese,Eurasia,35.8884,14.4508,malt1254,mlt,Maltese
CHN,Mandarin Chinese,Eurasia,40.0209,116.228,mand1415,cmn,Mandarin Chinese
MBF,Maori,Papunesia,-38.2881,176.541,maor1246,mri,Maori
OTA,Mezquital Otomi,North America,20.2274,-99.5564,mezq1235,ote,Mezquital Otomi
