ID,Name,Comment_Col,Grammacodes,Topics,Description
ADN,Adnominal intensifier,Comments (adn_ints),"SELFINT, ADNOM","self-intensifier, adnominal","This parameter shows the most important adnominal self-intensifier in the language, including some information on how it is used grammatically."
EXC,Exclusive intensifier,,,,This parameter shows the exclusive intensifier (as in 'I managed to do it myself').
REFL,Reflexivizer,Comments (refl),REFLZR,reflexivizer,This parameter gives the most important reflexive-marking element of the language.
ATTR,Attributive intensifier (‘own’),,"SELFINT, ADN","self-intensifier, adnominal modifier",This parameter gives the form of the attributive intensifier (as in 'She brought her own cake.')
SFP,Scalar focus particle (‘even’),,FOCM,focus marker,"This parameter gives the form of the scalar additive focus particle, corresponding to 'even'."
